"cohort_label","outcome_label","model_label","term","hazard_ratio","conf_low","conf_high","p_value"
"Overall matched cohort","Outcome 2","Model 3: model 2 + binary clinical","demo_sex1",1.02943189093296,0.949778363585174,1.11576559195305,0.480218658427932
"Overall matched cohort","Outcome 2","Model 3: model 2 + binary clinical","demo_raceGroup_B",0.952158655865702,0.876385412608763,1.03448333677903,0.246586005427654
"Overall matched cohort","Outcome 2","Model 3: model 2 + binary clinical","demo_raceMissing",1.08533528532394,0.905745528903379,1.3005338077632,0.374919192729003
"Overall matched cohort","Outcome 2","Model 3: model 2 + binary clinical","clinical_binary_11",2.1592817029796,1.9406638448163,2.40252709673365,2.3471119106851e-45
"Overall matched cohort","Outcome 2","Model 3: model 2 + binary clinical","clinical_binary_21",1.32454721591475,1.21370948905354,1.44550680620914,2.90356971735204e-10
"Overall matched cohort","Outcome 2","Model 3: model 2 + binary clinical","clinical_binary_31",1.24288988993747,1.13358109399272,1.36273909885683,3.66686561696156e-06
"Overall matched cohort","Outcome 2","Model 3: model 2 + binary clinical","clinical_binary_41",0.978996955489453,0.88380324156359,1.08444390536743,0.684223608254499
"Overall matched cohort","Outcome 2","Model 3: model 2 + binary clinical","clinical_binary_51",0.996944724803844,0.911702313606751,1.09015713734704,0.946503189013287
"Overall matched cohort","Outcome 2","Model 3: model 2 + binary clinical","clinical_binary_61",0.97779797789943,0.8668052743912,1.10300307788935,0.714943447742069
"Overall matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","exposure_groupExposure_B",0.933712619355111,0.861367662429133,1.01213371893295,0.0955434598414183
"Overall matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","demo_age",1.02459143680042,1.02041492811907,1.02878503972871,2.10704711982226e-31
"Overall matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","demo_sex1",1.05781941887746,0.975969422362465,1.14653379226328,0.171316670591379
"Overall matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","demo_raceGroup_B",0.951053380038037,0.875363067868495,1.03328843183233,0.235602028934271
"Overall matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","demo_raceMissing",1.06488241877573,0.888663427035628,1.2760450484615,0.495807527697428
"Overall matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","clinical_binary_11",1.66367936382878,1.49178951354977,1.85537503816043,5.77687371563967e-20
"Overall matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","clinical_binary_21",1.17262669312873,1.07376143310037,1.28059485007551,0.000394665561908044
"Overall matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","clinical_binary_31",1.24952985376126,1.13967574778622,1.3699728703304,2.08907950642498e-06
"Overall matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","clinical_binary_41",0.979580556428838,0.884332226366341,1.0850877508742,0.69262340551615
"Overall matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","clinical_binary_51",1.00906648514323,0.922784400218367,1.10341610802954,0.843118370611667
"Overall matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","clinical_binary_61",0.969153242352826,0.859131653733513,1.09326434788112,0.61031108516287
"Overall matched cohort","Outcome 2","Model 4: model 3 + continuous clinical","clinical_continuous_1",0.965500668038169,0.962666612547459,0.968343066885155,3.53405184478318e-121
"Age 65+ matched cohort","Outcome 1","Model 1: exposure only","exposure_groupExposure_B",0.953280140115145,0.872205141351594,1.04189138822289,0.291401925496266
"Age 65+ matched cohort","Outcome 1","Model 2: exposure + demographics","exposure_groupExposure_B",0.932832711626147,0.85343185230033,1.01962079987327,0.125555442669588
"Age 65+ matched cohort","Outcome 1","Model 2: exposure + demographics","demo_age",1.03977503524057,1.0333940508569,1.0461954208204,2.06823528694423e-35
"Age 65+ matched cohort","Outcome 1","Model 2: exposure + demographics","demo_sex1",1.23976864417613,1.134174944714,1.35519330438913,2.22251734540146e-06
"Age 65+ matched cohort","Outcome 1","Model 2: exposure + demographics","demo_raceGroup_B",0.993109103654213,0.90638171220612,1.08813503017434,0.882097346418183
"Age 65+ matched cohort","Outcome 1","Model 2: exposure + demographics","demo_raceMissing",1.00592905887413,0.817298266398045,1.23809545803512,0.955505557211434
"Age 65+ matched cohort","Outcome 1","Model 3: model 2 + binary clinical","exposure_groupExposure_B",0.917400468619105,0.839205872034199,1.00288099484158,0.0578711953928368
"Age 65+ matched cohort","Outcome 1","Model 3: model 2 + binary clinical","demo_age",1.03689461296028,1.03048499205985,1.04334410172913,2.30121503522378e-30
"Age 65+ matched cohort","Outcome 1","Model 3: model 2 + binary clinical","demo_sex1",1.24772920914758,1.14143607780949,1.36392059934511,1.10499124028181e-06
"Age 65+ matched cohort","Outcome 1","Model 3: model 2 + binary clinical","demo_raceGroup_B",0.995962608955127,0.908978962198063,1.09127005100099,0.930859187976468
"Age 65+ matched cohort","Outcome 1","Model 3: model 2 + binary clinical","demo_raceMissing",1.00147752085405,0.813648010857789,1.23266721160987,0.988884154012627
"Age 65+ matched cohort","Outcome 1","Model 3: model 2 + binary clinical","clinical_binary_11",1.21837850032985,1.0583994050517,1.40253874197285,0.00595497156043402
"Age 65+ matched cohort","Outcome 1","Model 3: model 2 + binary clinical","clinical_binary_21",1.35851563269301,1.23494043224541,1.49445647424113,3.03991555052914e-10
"Age 65+ matched cohort","Outcome 1","Model 3: model 2 + binary clinical","clinical_binary_31",1.09542200074551,0.988887690168783,1.21343340770325,0.0808280908757422
"Age 65+ matched cohort","Outcome 1","Model 3: model 2 + binary clinical","clinical_binary_41",1.13547584344835,1.02134918613929,1.26235513627649,0.0187316664160273
"Age 65+ matched cohort","Outcome 1","Model 3: model 2 + binary clinical","clinical_binary_51",1.02457771205371,0.929558975586,1.12930918382606,0.624865107129622
"Age 65+ matched cohort","Outcome 1","Model 3: model 2 + binary clinical","clinical_binary_61",1.29845871507881,1.15366816536245,1.46142113077587,1.49352906183759e-05
"Age 65+ matched cohort","Outcome 1","Model 4: model 3 + continuous clinical","exposure_groupExposure_B",0.917150956178206,0.838910090799443,1.00268894800992,0.0573099979246831
"Age 65+ matched cohort","Outcome 1","Model 4: model 3 + continuous clinical","demo_age",1.03682142830685,1.03033268280923,1.04335103809892,1.48793833666862e-29
"Age 65+ matched cohort","Outcome 1","Model 4: model 3 + continuous clinical","demo_sex1",1.24792948210556,1.1415876022772,1.36417738700189,1.09378198603274e-06
"Age 65+ matched cohort","Outcome 1","Model 4: model 3 + continuous clinical","demo_raceGroup_B",0.995998733625059,0.909010655375459,1.09131116507427,0.93147858635174
"Age 65+ matched cohort","Outcome 1","Model 4: model 3 + continuous clinical","demo_raceMissing",1.00137802689834,0.813563509998698,1.23255030545363,0.989632344012058
"Age 65+ matched cohort","Outcome 1","Model 4: model 3 + continuous clinical","clinical_binary_11",1.21613285228308,1.05399849828739,1.40320799014924,0.00735450973000973
"Age 65+ matched cohort","Outcome 1","Model 4: model 3 + continuous clinical","clinical_binary_21",1.35751840343294,1.23336003251788,1.49417539653605,4.21461422513652e-10
"Age 65+ matched cohort","Outcome 1","Model 4: model 3 + continuous clinical","clinical_binary_31",1.09535402144726,0.988822441249768,1.2133628670323,0.0810465749562924
"Age 65+ matched cohort","Outcome 1","Model 4: model 3 + continuous clinical","clinical_binary_41",1.13544633176623,1.02132205724354,1.26232304803143,0.0187565269665648
"Age 65+ matched cohort","Outcome 1","Model 4: model 3 + continuous clinical","clinical_binary_51",1.02460111064967,0.929579866190912,1.12933538486184,0.624540838571507
"Age 65+ matched cohort","Outcome 1","Model 4: model 3 + continuous clinical","clinical_binary_61",1.29850247977628,1.15370609981103,1.46147159164827,1.48994849667077e-05
"Age 65+ matched cohort","Outcome 1","Model 4: model 3 + continuous clinical","clinical_continuous_1",0.999768102202375,0.99654721803809,1.00299939640505,0.887972585329534
"Age 65+ matched cohort","Outcome 2","Model 1: exposure only","exposure_groupExposure_B",1.01802023555364,0.928667973422579,1.11596957110214,0.703167321957997
"Age 65+ matched cohort","Outcome 2","Model 2: exposure + demographics","exposure_groupExposure_B",0.999312231031656,0.911520201108599,1.0955598503192,0.988299721244189
"Age 65+ matched cohort","Outcome 2","Model 2: exposure + demographics","demo_age",1.03941266871839,1.03281700392898,1.04605045403241,1.15894174104572e-32
"Age 65+ matched cohort","Outcome 2","Model 2: exposure + demographics","demo_sex1",1.00772735283735,0.919114689726053,1.10488324145842,0.869797636951494
"Age 65+ matched cohort","Outcome 2","Model 2: exposure + demographics","demo_raceGroup_B",0.951778226944392,0.865726935721308,1.04638282108047,0.306678735532931
