"outcome","chisq","df","p_value","conclusion"
"Outcome 1",19.556,11,"0.052","No evidence against a constant hazard ratio over follow-up."
"Outcome 2",7.285,11,"0.776","No evidence against a constant hazard ratio over follow-up."
