"covariate","smd","abs_smd","balanced"
"demo_age",0.0633453266015428,0.0633453266015428,TRUE
"demo_sex_0",-0.0703430829725277,0.0703430829725277,TRUE
"demo_sex_1",0.0703430829725279,0.0703430829725279,TRUE
"demo_race_Group_A",0.0192721939933896,0.0192721939933896,TRUE
"demo_race_Group_B",-0.022606200542895,0.022606200542895,TRUE
"demo_race_Missing",0.00709832619054166,0.00709832619054166,TRUE
"clinical_binary_1_0",-0.0857636352769958,0.0857636352769958,TRUE
"clinical_binary_1_1",0.0857636352769955,0.0857636352769955,TRUE
"clinical_binary_2_0",-0.0616723413529166,0.0616723413529166,TRUE
"clinical_binary_2_1",0.0616723413529164,0.0616723413529164,TRUE
"clinical_binary_3_0",-0.0252030741508253,0.0252030741508253,TRUE
"clinical_binary_3_1",0.0252030741508251,0.0252030741508251,TRUE
"clinical_binary_4_0",-0.0189739016930879,0.0189739016930879,TRUE
"clinical_binary_4_1",0.0189739016930877,0.0189739016930877,TRUE
"clinical_binary_5_0",-0.0183295523559909,0.0183295523559909,TRUE
"clinical_binary_5_1",0.0183295523559908,0.0183295523559908,TRUE
"clinical_binary_6_0",-0.0244989795220539,0.0244989795220539,TRUE
"clinical_binary_6_1",0.024498979522054,0.024498979522054,TRUE
"clinical_continuous_1",-0.066247180042419,0.066247180042419,TRUE
