"analysis","model","estimate","ci_lower","ci_upper","se_log","z","p_value","se_source","hr_ci","p","true_cs_hr"
"Primary","Fine-Gray (subdistribution)",0.809623220949709,0.707246848599994,0.926818919304531,0.0689753622361013,-3.0617642591607,0.00220036670586693,"robust","0.81 (0.71–0.93)","0.002",0.8
"Primary","Cause-specific Cox",0.814604446558012,0.711591290045866,0.932530251050871,0.0689803175392826,-2.97262512726898,0.00295264831060785,"robust","0.81 (0.71–0.93)","0.003",0.8
